order,seasonal,AIC
"(1, 1, 0)","(0, 0, 0, 0)",-8762.29
"(3, 1, 4)","(0, 0, 0, 0)",-8758.27
"(4, 1, 4)","(0, 0, 0, 0)",-8757.10
"(0, 1, 1)","(0, 0, 0, 0)",-8756.70
"(2, 1, 0)","(0, 0, 0, 0)",-8756.50
"(1, 1, 1)","(0, 0, 0, 0)",-8756.11
"(2, 1, 1)","(0, 0, 0, 0)",-8754.81
"(1, 2, 1)","(0, 0, 0, 0)",-8754.69
"(2, 2, 4)","(0, 0, 0, 0)",-8754.18
"(2, 2, 1)","(0, 0, 0, 0)",-8752.74
"(0, 1, 2)","(0, 0, 0, 0)",-8751.75
"(3, 2, 3)","(0, 0, 0, 0)",-8751.14
"(2, 2, 3)","(0, 0, 0, 0)",-8751.11
"(4, 2, 3)","(0, 0, 0, 0)",-8750.55
"(3, 2, 2)","(0, 0, 0, 0)",-8750.47
"(1, 1, 2)","(0, 0, 0, 0)",-8749.92
"(3, 1, 0)","(0, 0, 0, 0)",-8749.88
"(0, 2, 2)","(0, 0, 0, 0)",-8749.61
"(1, 2, 2)","(0, 0, 0, 0)",-8748.80
"(2, 2, 2)","(0, 0, 0, 0)",-8748.80
"(2, 1, 2)","(0, 0, 0, 0)",-8748.33
"(3, 2, 4)","(0, 0, 0, 0)",-8747.95
"(3, 1, 1)","(0, 0, 0, 0)",-8747.87
"(0, 2, 1)","(0, 0, 0, 0)",-8746.55
"(3, 1, 2)","(0, 0, 0, 0)",-8746.05
"(3, 2, 1)","(0, 0, 0, 0)",-8745.87
"(4, 2, 2)","(0, 0, 0, 0)",-8744.75
"(0, 1, 3)","(0, 0, 0, 0)",-8744.66
"(0, 2, 3)","(0, 0, 0, 0)",-8743.84
"(1, 2, 3)","(0, 0, 0, 0)",-8743.06
"(1, 1, 3)","(0, 0, 0, 0)",-8742.79
"(4, 1, 0)","(0, 0, 0, 0)",-8742.76
"(4, 2, 4)","(0, 0, 0, 0)",-8742.26
"(1, 1, 4)","(0, 0, 0, 0)",-8742.01
"(2, 1, 3)","(0, 0, 0, 0)",-8741.05
"(1, 2, 4)","(0, 0, 0, 0)",-8740.79
"(4, 1, 1)","(0, 0, 0, 0)",-8740.77
"(2, 1, 4)","(0, 0, 0, 0)",-8740.13
"(3, 1, 3)","(0, 0, 0, 0)",-8739.96
"(4, 2, 1)","(0, 0, 0, 0)",-8739.45
"(4, 1, 3)","(0, 0, 0, 0)",-8737.68
"(0, 1, 4)","(0, 0, 0, 0)",-8737.64
"(0, 2, 4)","(0, 0, 0, 0)",-8737.31
"(1, 1, 0)","(1, 0, 0, 5)",-8736.70
"(1, 1, 0)","(0, 0, 1, 5)",-8736.69
"(1, 1, 0)","(1, 0, 1, 5)",-8734.29
"(4, 2, 0)","(0, 0, 0, 0)",-8373.66
"(3, 2, 0)","(0, 0, 0, 0)",-8279.13
"(2, 2, 0)","(0, 0, 0, 0)",-8150.00
"(1, 2, 0)","(0, 0, 0, 0)",-7891.54
"(4, 1, 2)","(0, 0, 0, 0)",-7706.37
