Date,Ist,Naiv,MovingAverage,ARIMA_SARIMA,LSTM_Level,LSTM_LogRendite
2023-07-06,42.0211,42.2347,41.2106,42.2409,41.4840,42.0123
2023-07-07,42.4204,42.0211,41.3829,42.0348,41.3995,41.8013
2023-07-10,42.0980,42.4204,41.6338,42.3946,41.4198,42.2504
2023-07-11,42.3226,42.0980,41.8169,42.1186,41.3476,42.0013
2023-07-12,43.8166,42.3226,41.9983,42.3081,41.5694,42.1776
2023-07-13,45.8876,43.8166,42.2189,43.7192,42.3112,43.6095
2023-07-14,45.3806,45.8876,42.4662,45.7519,43.4201,45.6758
2023-07-17,46.3707,45.3806,42.5895,45.4130,43.8319,45.3688
2023-07-18,47.4016,46.3707,42.7796,46.3065,44.7092,46.3752
2023-07-19,46.9855,47.4016,43.0192,47.3348,45.7284,47.3739
2023-07-20,45.4315,46.9855,43.1823,47.0121,46.3830,46.8785
2023-07-21,44.2229,45.4315,43.3058,45.5296,46.2490,45.3456
2023-07-24,44.5253,44.2229,43.3699,44.2994,45.6338,44.2733
2023-07-25,45.5902,44.5253,43.4898,44.5058,45.5280,44.5452
2023-07-26,45.3636,45.5902,43.7417,45.5211,45.8056,45.4928
2023-07-27,45.8108,45.3636,43.9201,45.3781,45.8017,45.2053
2023-07-28,46.6591,45.8108,44.1588,45.7819,45.8448,45.6533
2023-07-31,46.6381,46.6591,44.4546,46.6042,46.0521,46.5189
2023-08-01,46.4166,46.6381,44.6756,46.6395,46.1506,46.5221
2023-08-02,44.1829,46.4166,44.8799,46.4308,46.3133,46.2560
2023-08-03,44.4284,44.1829,44.9773,44.3230,45.5279,44.0838
2023-08-04,44.5931,44.4284,45.0976,44.4127,45.2113,44.2971
2023-08-07,45.3287,44.5931,45.2063,44.5825,44.8004,44.5265
2023-08-08,44.5772,45.3287,45.3678,45.2811,44.7991,45.3074
2023-08-09,42.4713,44.5772,45.4805,44.6250,44.6428,44.5579
2023-08-10,42.3056,42.4713,45.4133,42.6033,43.8220,42.5034
2023-08-11,40.7756,42.3056,45.2342,42.3162,43.4670,42.3479
2023-08-14,43.6679,40.7756,45.0039,40.8720,42.5638,40.9025
2023-08-15,43.8546,43.6679,44.8688,43.4764,43.0256,43.9111
2023-08-16,43.4014,43.8546,44.6914,43.8426,43.5282,44.1472
2023-08-17,43.2597,43.4014,44.5122,43.4304,43.8015,43.6579
2023-08-18,43.2148,43.2597,44.4036,43.2688,43.9286,43.4907
2023-08-21,46.8757,43.2148,44.3532,43.2177,43.8921,43.5185
2023-08-22,45.5792,46.8757,44.4708,46.6318,45.1774,47.2561
2023-08-23,47.0244,45.5792,44.4702,45.6613,45.7772,46.0018
2023-08-24,47.0713,47.0244,44.5533,46.9303,46.8005,47.3762
2023-08-25,45.9285,47.0713,44.6163,47.0683,47.4028,47.4615
2023-08-28,46.7439,45.9285,44.5798,46.0010,47.4652,46.3555
2023-08-29,48.6891,46.7439,44.5850,46.6912,47.8530,47.1330
2023-08-30,49.1682,48.6891,44.6987,48.5620,48.8276,48.9198
2023-08-31,49.2590,49.1682,44.9479,49.1373,49.4987,49.3212
2023-09-01,48.4147,49.2590,45.1895,49.2532,49.9602,49.3150
2023-09-05,48.4536,48.4147,45.3805,48.4684,49.7817,48.4628
2023-09-06,46.9734,48.4536,45.5368,48.4511,49.6324,48.4862
2023-09-07,46.1549,46.9734,45.6566,47.0670,49.1014,47.0003
2023-09-08,45.4871,46.1549,45.8408,46.2070,48.4252,46.1707
2023-09-11,45.0939,45.4871,45.9999,45.5297,47.5387,45.5443
2023-09-12,44.7864,45.0939,46.2158,45.1190,46.7118,45.2429
2023-09-13,45.4003,44.7864,46.2717,44.8061,46.2975,44.8699
2023-09-14,45.4961,45.4003,46.3490,45.3607,46.0672,45.4356
2023-09-15,43.8182,45.4961,46.4537,45.4900,45.8268,45.5423
2023-09-18,43.8841,43.8182,46.4816,43.9240,44.9669,43.9586
2023-09-19,43.4390,43.8841,46.5151,43.8799,44.5667,44.1117
2023-09-20,42.1603,43.4390,46.3433,43.4674,44.3757,43.6269
2023-09-21,40.9406,42.1603,46.1723,42.2412,43.8161,42.2682
2023-09-22,41.5325,40.9406,45.8681,41.0178,43.0561,41.0337
2023-09-25,42.1434,41.5325,45.5912,41.4943,42.6453,41.7044
2023-09-26,41.8330,42.1434,45.4019,42.1039,42.6353,42.4035
2023-09-27,42.3889,41.8330,45.1564,41.8528,42.7033,42.0541
2023-09-28,43.0088,42.3889,44.8414,42.3530,42.9886,42.6032
2023-09-29,43.4180,43.0088,44.5334,42.9687,43.3735,43.2683
2023-10-02,44.6986,43.4180,44.2414,43.3916,43.7189,43.7452
2023-10-03,43.4360,44.6986,44.0556,44.6153,44.4626,45.0937
2023-10-04,43.9590,43.4360,43.8047,43.5159,44.7607,43.8556
2023-10-05,44.6048,43.9590,43.6540,43.9252,45.3363,44.2702
2023-10-06,45.6768,44.6048,43.5765,44.5631,45.8194,44.8567
2023-10-09,45.1887,45.6768,43.5859,45.6072,46.3691,45.9832
2023-10-10,45.7127,45.1887,43.5907,45.2199,46.5975,45.5452
2023-10-11,46.7188,45.7127,43.6370,45.6789,47.1795,45.9592
2023-10-12,46.8576,46.7188,43.7029,46.6536,47.8210,46.8500
2023-10-13,45.3763,46.8576,43.7710,46.8487,48.1208,47.0476
2023-10-16,46.0092,45.3763,43.8489,45.4700,47.7647,45.7060
2023-10-17,43.8562,46.0092,43.9551,45.9683,47.8532,46.2896
2023-10-18,42.1174,43.8562,43.9760,43.9912,47.0245,44.2645
2023-10-19,42.0226,42.1174,43.9739,42.2269,46.1435,42.5272
2023-10-20,41.3099,42.0226,44.0280,42.0287,45.3766,42.3661
2023-10-23,42.8950,41.3099,44.0168,41.3553,44.3055,41.6489
2023-10-24,43.5817,42.8950,44.0544,42.7915,44.1648,43.2391
2023-10-25,41.7012,43.5817,44.1418,43.5373,44.3385,43.8651
2023-10-26,40.2509,41.7012,44.1075,41.8194,43.7098,41.9222
2023-10-27,40.4246,40.2509,43.9696,40.3424,42.7897,40.4737
2023-10-30,41.0844,40.4246,43.8199,40.4134,42.2630,40.6735
2023-10-31,40.7041,41.0844,43.6392,41.0417,42.1329,41.3780
2023-11-01,42.2462,40.7041,43.5026,40.7284,42.0070,40.9984
2023-11-02,43.4250,42.2462,43.4170,42.1455,42.4954,42.5173
2023-11-03,44.9212,43.4250,43.3580,43.3484,43.1261,43.7045
2023-11-06,45.6658,44.9212,43.3202,44.8237,43.9452,45.2597
2023-11-07,45.8694,45.6658,43.3440,45.6177,44.8699,46.0435
2023-11-08,46.4873,45.8694,43.3519,45.8563,45.8628,46.1582
2023-11-09,46.8626,46.4873,43.3403,46.4474,46.7593,46.6782
2023-11-10,48.2450,46.8626,43.3405,46.8384,47.4354,47.0618
2023-11-13,48.5295,48.2450,43.4840,48.1551,48.2800,48.4812
2023-11-14,49.5635,48.5295,43.6100,48.5112,48.8351,48.7749
2023-11-15,48.7970,49.5635,43.8954,49.4965,49.7800,49.7259
2023-11-16,49.3879,48.7970,44.2293,48.8458,50.1715,48.9489
2023-11-17,49.2062,49.3879,44.5976,49.3497,50.6084,49.4549
2023-11-20,50.3151,49.2062,44.9924,49.2178,50.5579,49.2403
2023-11-21,49.8510,50.3151,45.3634,50.2432,50.7313,50.3805
2023-11-22,48.6253,49.8510,45.6769,49.8806,50.8526,50.0223
2023-11-24,47.6870,48.6253,46.0231,48.7030,50.5789,48.9302
2023-11-27,48.1522,47.6870,46.3949,47.7467,50.1982,47.9026
2023-11-28,47.7320,48.1522,46.7813,48.1222,49.7341,48.2873
2023-11-29,48.0504,47.7320,47.1137,47.7588,49.3776,47.8013
2023-11-30,46.6829,48.0504,47.4810,48.0299,49.1294,48.0427
2023-12-01,46.6779,46.6829,47.7028,46.7695,48.2783,46.7387
2023-12-04,45.4253,46.6779,47.8655,46.6782,47.6297,46.7674
2023-12-05,46.4834,45.4253,47.8907,45.5046,46.7231,45.5753
2023-12-06,45.4223,46.4834,47.9315,46.4148,46.7264,46.5544
2023-12-07,46.5133,45.4223,47.9092,45.4896,46.2554,45.4667
2023-12-08,47.4217,46.5133,47.9105,46.4425,46.3292,46.5375
2023-12-11,46.5443,47.4217,47.9384,47.3629,46.5548,47.5189
2023-12-12,47.5724,46.5443,47.8534,46.6001,46.4498,46.7888
2023-12-13,48.0027,47.5724,47.8056,47.5058,47.1412,47.7567
2023-12-14,48.2642,48.0027,47.7275,47.9750,47.7376,48.1614
2023-12-15,48.8032,48.2642,47.7009,48.2474,48.2632,48.4280
2023-12-18,49.9881,48.8032,47.6716,48.7685,48.7002,49.0342
2023-12-19,49.5160,49.9881,47.7107,49.9113,49.4936,50.2332
2023-12-20,48.0256,49.5160,47.6708,49.5461,50.0282,49.7354
2023-12-21,48.9031,48.0256,47.5795,48.1199,49.9279,48.1963
2023-12-22,48.7434,48.9031,47.5934,48.8463,50.1703,48.9495
2023-12-26,49.1916,48.7434,47.6462,48.7536,50.0137,48.7536
2023-12-27,49.3293,49.1916,47.6982,49.1627,49.9525,49.1904
2023-12-28,49.4341,49.3293,47.7781,49.3205,50.0575,49.3046
2023-12-29,49.4341,49.4341,47.8472,49.4274,50.0454,49.4273
2024-01-02,48.0825,49.4341,47.9848,49.4341,49.8918,49.5639
2024-01-03,47.4846,48.0825,48.0550,48.1681,49.4119,48.3825
2024-01-04,47.9128,47.4846,48.1580,47.5227,49.0691,47.8080
2024-01-05,49.0099,47.9128,48.2295,47.8853,48.9119,48.2010
2024-01-08,52.1603,49.0099,48.4089,48.9388,49.0448,49.3574
2024-01-09,53.0457,52.1603,48.6912,51.9522,50.2239,52.5943
2024-01-10,54.2536,53.0457,48.9724,52.9885,51.4102,53.5638
2024-01-11,54.7247,54.2536,49.3579,54.1753,52.7341,54.6613
2024-01-12,54.6129,54.7247,49.7155,54.6944,53.7253,55.0539
2024-01-16,56.2820,54.6129,50.0460,54.6201,54.3335,54.8807
2024-01-17,55.9535,56.2820,50.4469,56.1734,55.1194,56.5074
2024-01-18,57.0057,55.9535,50.8044,55.9746,55.6676,56.1666
2024-01-19,59.3854,57.0057,51.1553,56.9376,56.3044,57.1580
2024-01-22,59.5482,59.3854,51.6487,59.2298,57.2037,59.5142
2024-01-23,59.7668,59.5482,52.2249,59.5377,57.8164,59.7184
2024-01-24,61.2531,59.7668,52.7681,59.7527,58.6069,59.7583
2024-01-25,61.5077,61.2531,53.3935,61.1567,59.3918,61.1397
2024-01-26,60.9227,61.5077,54.0094,61.4913,59.9560,61.3342
2024-01-29,62.3542,60.9227,54.5890,60.9601,60.0430,60.7073
2024-01-30,62.6626,62.3542,55.2350,62.2613,60.3368,62.1001
2024-01-31,61.4178,62.6626,55.8964,62.6428,60.7642,62.3366
2024-02-01,62.9152,61.4178,56.5632,61.4969,60.6660,61.0659
2024-02-02,66.0426,62.9152,57.3347,62.8180,60.9491,62.4525
2024-02-05,69.2090,66.0426,58.2412,65.8374,61.6578,65.5486
2024-02-06,68.1020,69.2090,59.2512,69.0013,62.7188,68.8645
2024-02-07,69.9746,68.1020,60.0483,68.1724,63.5283,67.8199
2024-02-08,69.5174,69.9746,60.8947,69.8529,64.6748,69.4646
2024-02-09,72.0050,69.5174,61.6579,69.5467,65.1736,68.8748
2024-02-12,72.1198,72.0050,62.5219,71.8428,65.9619,71.2309
2024-02-13,72.0000,72.1198,63.3973,72.1125,66.2683,71.5542
2024-02-14,73.7689,72.0000,64.1832,72.0077,66.8334,71.3918
2024-02-15,72.5291,73.7689,65.0739,73.6541,67.6469,72.9286
2024-02-16,72.4842,72.5291,65.8501,72.6080,67.7551,71.5722
2024-02-20,69.3288,72.4842,66.5050,72.4870,67.6867,71.5371
2024-02-21,67.3523,69.3288,66.9941,69.5270,66.6601,68.7338
